,attraction_name,date,forecast
66,[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle,2024-11-01,32.390719597606875
67,[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle,2024-11-02,40.553999889057934
68,[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle,2024-11-03,25.78343887583371
69,[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle,2024-11-04,33.79880224945495
70,[Sci-Fi City] Accelerator,2024-10-22,13.992532927211606
71,[Sci-Fi City] Accelerator,2024-10-23,14.50032205564262
72,[Sci-Fi City] Accelerator,2024-10-24,16.509810682282712
73,[Sci-Fi City] Accelerator,2024-10-25,16.095520784515124
74,[Sci-Fi City] Accelerator,2024-10-26,20.19466570092191
75,[Sci-Fi City] Accelerator,2024-10-27,12.84930315360837
76,[Sci-Fi City] Accelerator,2024-10-28,16.8484907447158
77,[Sci-Fi City] Accelerator,2024-10-29,14.43170633603731
78,[Sci-Fi City] Accelerator,2024-10-30,14.30730981437707
79,[Sci-Fi City] Accelerator,2024-10-31,12.345597845737023
80,[Sci-Fi City] Accelerator,2024-11-01,15.537007737446304
81,[Sci-Fi City] Accelerator,2024-11-02,19.45266495813674
82,[Sci-Fi City] Accelerator,2024-11-03,12.367677112323424
83,[Sci-Fi City] Accelerator,2024-11-04,16.212440250667417
84,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-22,13.018393186443072
85,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-23,13.490880204603274
86,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-24,15.360510459722557
87,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-25,14.97502078002447
88,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-26,18.789025725613012
89,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-27,11.9547423523375
90,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-28,15.675538645175408
91,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-29,13.426995465914644
92,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-30,13.311310890385752
93,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-10-31,11.486247967506326
94,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-11-01,14.455380733913506
95,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-11-02,18.09865666661764
96,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-11-03,11.506635912328411
97,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,2024-11-04,15.08375331846918
98,[Sci-Fi City] Sci-Fi Games,2024-10-22,3.692943323766465
99,[Sci-Fi City] Sci-Fi Games,2024-10-23,3.826947915351485
100,[Sci-Fi City] Sci-Fi Games,2024-10-24,4.357287867788017
101,[Sci-Fi City] Sci-Fi Games,2024-10-25,4.247951364622887
102,[Sci-Fi City] Sci-Fi Games,2024-10-26,5.32977391149624
103,[Sci-Fi City] Sci-Fi Games,2024-10-27,3.3912104409359483
104,[Sci-Fi City] Sci-Fi Games,2024-10-28,4.44667921962619
105,[Sci-Fi City] Sci-Fi Games,2024-10-29,3.8088362314461106
106,[Sci-Fi City] Sci-Fi Games,2024-10-30,3.775997539462588
107,[Sci-Fi City] Sci-Fi Games,2024-10-31,3.2582637678404516
108,[Sci-Fi City] Sci-Fi Games,2024-11-01,4.100542130073687
109,[Sci-Fi City] Sci-Fi Games,2024-11-02,5.1339391592219945
110,[Sci-Fi City] Sci-Fi Games,2024-11-03,3.2640953813186036
111,[Sci-Fi City] Sci-Fi Games,2024-11-04,4.27880744388506
112,[Ancient Egypt] Revenge of the Mummy,2024-10-22,35.31164664230356
113,[Ancient Egypt] Revenge of the Mummy,2024-10-23,36.59308060304135
114,[Ancient Egypt] Revenge of the Mummy,2024-10-24,41.66422771543775
115,[Ancient Egypt] Revenge of the Mummy,2024-10-25,40.61875107155013
116,[Ancient Egypt] Revenge of the Mummy,2024-10-26,50.9632603862899
117,[Ancient Egypt] Revenge of the Mummy,2024-10-27,32.42660634471717
118,[Ancient Egypt] Revenge of the Mummy,2024-10-28,42.51897423512873
119,[Ancient Egypt] Revenge of the Mummy,2024-10-29,36.41995020676884
120,[Ancient Egypt] Revenge of the Mummy,2024-10-30,36.105995644277286
121,[Ancient Egypt] Revenge of the Mummy,2024-10-31,31.155449512998473
122,[Ancient Egypt] Revenge of the Mummy,2024-11-01,39.20928251067505
123,[Ancient Egypt] Revenge of the Mummy,2024-11-02,49.09074413609616
124,[Ancient Egypt] Revenge of the Mummy,2024-11-03,31.21116868622331
125,[Ancient Egypt] Revenge of the Mummy,2024-11-04,40.91382945499955
126,[Ancient Egypt] Treasure Hunters,2024-10-22,10.985621070310522
127,[Ancient Egypt] Treasure Hunters,2024-10-23,11.384236511542436
128,[Ancient Egypt] Treasure Hunters,2024-10-24,12.961846560373813
129,[Ancient Egypt] Treasure Hunters,2024-10-25,12.636547392466712
130,[Ancient Egypt] Treasure Hunters,2024-10-26,15.85482298757302
131,[Ancient Egypt] Treasure Hunters,2024-10-27,10.0879208180721
132,[Ancient Egypt] Treasure Hunters,2024-10-28,13.2276683990176
133,[Ancient Egypt] Treasure Hunters,2024-10-29,11.330254816186349
134,[Ancient Egypt] Treasure Hunters,2024-10-30,11.23259162993294
135,[Ancient Egypt] Treasure Hunters,2024-10-31,9.692522004853512
136,[Ancient Egypt] Treasure Hunters,2024-11-01,12.197995003038557
137,[Ancient Egypt] Treasure Hunters,2024-11-02,15.27220770003899
138,[Ancient Egypt] Treasure Hunters,2024-11-03,9.709756826032928
139,[Ancient Egypt] Treasure Hunters,2024-11-04,12.728255083786468
140,[The Lost World] Canopy Flyer,2024-10-22,22.928299627919632
141,[The Lost World] Canopy Flyer,2024-10-23,23.760395893752115
142,[The Lost World] Canopy Flyer,2024-10-24,27.053190307912335
143,[The Lost World] Canopy Flyer,2024-10-25,26.374284315149215
144,[The Lost World] Canopy Flyer,2024-10-26,33.091413783314024
145,[The Lost World] Canopy Flyer,2024-10-27,21.054947336175815
146,[The Lost World] Canopy Flyer,2024-10-28,27.608071309661888
147,[The Lost World] Canopy Flyer,2024-10-29,23.64788564718057
